Meeting Name,Agenda,Attendees,Date,Has Cluely Transcript,Has Final Transcript,Has Notion Transcript,Has Teams Transcript,Meeting Type,Merged to Feed,Mtg #,Organizer,Priority,Processing,Status
IP Corporation — CIO Interview,"CIO interview with Pat Stiller, Matt Francis, and Eudias Kifern regarding Data Architecture / MDM Consultant role. Confirm scope, timeline, and contracting details.","Client, External","October 10, 2025 5:00 PM (UTC)",No,No,No,No,Interview,No,1,"Steve ",High,Processed,Completed
IP Corp — Data Architecture Review & DB Systems — 2025-12-09,"Data architecture review, database systems deep dive, schema inventory discussion",Internal,"December 9, 2025",Yes,No,Yes,No,Team Meeting,No,4,"Steve ",Medium,Processed,Completed
Database Architecture Overview & AI Toolbox Discussion,"SQL Server database walkthrough, M3 ERP database structure, Fabric Toolbox AI demo, database administration practices, Optiva/ETQ systems overview",Internal,"December 10, 2025",No,Yes,Yes,No,1:1,No,6,"Steve ",Medium,Processed,Completed
Data Architecture Planning Meeting with Pat,"Architecture planning session with Patrick, discovery priorities, stakeholder alignment",Internal,"December 9, 2025",No,No,Yes,No,1:1,No,5,"Steve ",Medium,Processed,Completed
Monday Kickoff with Patrick,"Patrick intro, IT landscape overview, 2-week priorities, ERP structure (M3 cloud + on-prem), security boundaries, Product domain prioritization, Fabric greenfield status",Internal,"December 8, 2025",No,No,No,No,1:1,No,2,"Steve ",High,Processed,Completed
Data Architecture Discovery Session,"High-level data systems overview, ERP walkthrough (M3), MES operational hub, cross-system key (Batch ID), data quality challenges, systems inventory (ANV, OATES, MPD SHAR, Optiva, CPR, EAM, ETQ, ION, SSRS)",Internal,"December 8, 2025",No,Yes,Yes,No,Team Meeting,No,3,"Steve ",High,Processed,Completed
Diagram Review Session with Pat,"Architecture diagram corrections: MES scope, remove BatchWorks/PlantPAx/Adage, add FactoryTalk Batch, OATES spelling, Sphera IA naming, ANV placement, name corrections (Kerri Voiss, Matt Pennaz)",Internal,"December 10, 2025",No,No,No,No,1:1,No,7,"Steve ",Medium,Processed,Completed
"M3 Salesforce Integration Deep Dive with Data Model, Price Supports and Sync Cadence","M3 database structure overview, Metadata Publisher demo, Salesforce integration (dbAMP), M3-Salesforce sync cadence, price supports process, data source mapping",Internal,"December 11, 2025",Yes,Yes,Yes,No,Team Meeting,No,11,"Steve ",High,Processed,Completed
MES Integration and Traceability Review,"End-to-end MES flow walkthrough (Optiva → MES → M3 → QC), Batch ID traceability, plant vs corporate formulas, MES-M3 integration rates (98-99%), disposition codes, S3/S4 yield accounting, ANV recommendations",Internal,"December 11, 2025",Yes,Yes,No,No,Team Meeting,No,12,"Steve ",High,Processed,Completed
IT Systems and Reporting Infrastructure Meeting,"SSRS reporting infrastructure overview, data sources walkthrough (M3, ETQ, Optiva, Thermograph, SysAid), report organization structure, system access planning",Internal,"December 11, 2025",Yes,Yes,Yes,No,Team Meeting,No,9,"Steve ",Medium,Processed,Completed
Project Kickoff Wrap-Up Conversation,"Engagement progress check-in, communication preferences, stakeholder dynamics, working relationship with Patrick",Internal,"December 11, 2025",Yes,Yes,Yes,No,1:1,No,10,"Steve ",Medium,Processed,Completed
MDM Systems Lite Discussion,"Company structure walkthrough (NAC distributorship, Interplastic/HK, Molding Products), MES vs non-MES plants, R&D systems (DataColor, X-Rite), SDS management (Optiva + Sphera IA), quality systems (ETQ, SPC), price supports",Internal,"December 10, 2025 2:00 PM (UTC)",No,No,No,No,Team Meeting,No,8,"Steve ",Medium,Processed,Completed
Mike Spencer — CIO Architecture Meeting,"MDM strategy discussion, CIO alignment on data management initiative, stakeholder engagement planning, executive sponsorship confirmation, steering committee structure, Fabric/Purview approach, ELT introduction timing",Internal,"December 12, 2025",Yes,Yes,Yes,No,1:1,No,13,"Steve ",High,Processed,Completed
